From Type,Source,Edge,Target,Weight,starting date,ending date
Venture Capital Funds,FCR Portugal Ventures Early Stages,Investment,"PETSYS ELECTRONICS - MEDICAL PET DETECTORS,",1,2013,
Venture Capital Funds,FCR Portugal Ventures Early Stages,Investment,"YOUNGSTORIES, S.A.",1,2013,
Venture Capital Funds,FCR Portugal Ventures Early Stages,Investment,"WHIZZTEK, S.A. - EM LIQUIDAÇÃO",1,2014,2015
Venture Capital Funds,FCR Portugal Ventures Early Stages,Investment,"WEBANKOR, S.A.",1,2013,
Venture Capital Funds,FCR Portugal Ventures Early Stages,Investment,"CUBO ENVIRONMENTAL TECHNOLOGIES, S.A.",1,2015,
Venture Capital Funds,FCR Portugal Ventures Early Stages,Investment,"AMANHÃ GLOBAL, S.A.",1,2014,
Venture Capital Funds,FCR Portugal Ventures Early Stages,Investment,"LIQUID DATA INTELLIGENCE, S.A.",1,2014,
Venture Capital Funds,FCR Portugal Ventures Early Stages,Investment,MORNING HEROES S.A.,1,2015,
Venture Capital Funds,FCR Portugal Ventures Early Stages,Investment,"GREENFIBER TECH, S.A.",1,2013,
Venture Capital Funds,FCR Portugal Ventures Internacionalização,Investment,"SCIENCE4YOU, S.A.",1,2012,
Venture Capital Funds,FCR Portugal Ventures Internacionalização,Investment,"SHIFTFORWARD, S.A.",1,2014,
Venture Capital Funds,FCR Portugal Ventures Internacionalização,Investment,"TUIZZI, S.A.",1,2013,
Venture Capital Funds,FCR Portugal Ventures Internacionalização,Investment,NUTRI VENTURES CORPORATION - NVC S.A.,1,2010,
Venture Capital Funds,FCR Portugal Ventures Internacionalização,Investment,"WIZDEE-SISTEMAS DE GESTÃO DE CONHECIMENTO, S.A.",1,2014,
Venture Capital Funds,FCR Portugal Ventures Internacionalização,Investment,"APTOIDE, S.A.",1,2013,
Venture Capital Funds,FCR Portugal Ventures Internacionalização,Investment,"BLOOMERS, S.A.",1,2015,
Venture Capital Funds,FCR Portugal Ventures Internacionalização,Investment,"BEYONDEVICES, S.A.",1,2015,
Venture Capital Funds,FCR Portugal Ventures Internacionalização,Investment,"JSCRAMBLER, S.A.",1,2013,
Venture Capital Funds,FCR Portugal Ventures Internacionalização,Investment,"KINEMATIX SENSE, S.A.",1,2008,
Venture Capital Funds,FCR Portugal Ventures Internacionalização,Investment,"KINEMATIX SENSE, S.A.",1,2008,
Venture Capital Funds,FCR Portugal Ventures Internacionalização,Investment,"KINEMATIX SENSE, S.A.",1,2008,
Venture Capital Funds,FCR Portugal Ventures Internacionalização,Investment,"MOODOPTIC, S.A.",1,2014,
Venture Capital Funds,FCR Portugal Ventures Internacionalização,Investment,"EPEDAL, SGPS S.A.",1,2015,
Venture Capital Funds,FCR Portugal Ventures Internacionalização,Investment,"GRAPHENEST, S.A.",1,2015,
Venture Capital Funds,FCR Portugal Ventures Universitas,Investment,"PASSWORKS, S.A.",1,2014,
Venture Capital Funds,FCR Portugal Ventures Universitas,Investment,"PETSYS ELECTRONICS - MEDICAL PET DETECTORS,",1,2013,
Venture Capital Funds,FCR Portugal Ventures Universitas,Investment,"PEPFEED, S,A",1,2015,
Venture Capital Funds,FCR Portugal Ventures Universitas,Investment,"YOUNGSTORIES, S.A.",1,2013,
Venture Capital Funds,FCR Portugal Ventures Universitas,Investment,"APTOIDE, S.A.",1,2013,
Venture Capital Funds,FCR Portugal Ventures Universitas,Investment,"BABYBOOK, S.A.",1,2014,
Venture Capital Funds,FCR Portugal Ventures Universitas,Investment,"FUNCTIONAL ENVIROMICS TECHNOLOGIES, S.A.",1,2013,
Venture Capital Funds,FCR ESV II,Investment,"SOUSACAMP, SGPS S.A.",1,2007,
