From Type,From Name,Edge,To Type,To Name,Weight,starting date,ending date
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),ALFAMA - INVESTIGAÇÃO E DESENVOLVIMENTO DE PRODUTOS FARMACÊUTICOS LDA,1,2013,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),"CSIDE - SOLUÇÕES INTELIGENTES, S.A.",1,2008,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),CRITICAL LINKS S.A.,1,2007,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),"ENEIDA, WIRELESS & SENSORS, S.A.",1,2012,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),"DISPLAX, S.A.",1,2008,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),"CHIC BY CHOICE, S.A.",1,2014,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),Code Place (Songvice B.V.),1,2015,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),"WIZI TO FIND, S.A.",1,2006,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),"XHOCKWARE, S.A.",1,2014,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),"ZUVI NOVA, S.A.",1,2011,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Other,Principle Power Unipessoal LDA,1,2014,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),PHARMA73 S.A.,1,2014,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),"OUTSYSTEMS - SOFTWARE EM REDE, S.A.",1,2007,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),"OMNIFLOW, S.A",1,2014,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Investment,Targeted companies (startups),"SKAPHANDRUS, S.A. - EM LIQUIDAÇÃO",1,2014,2016
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Management entity (or controlling entity),Venture Capital Funds,Fundo de Capital de Risco Dinamização Turística,1,2009,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Management entity (or controlling entity),Venture Capital Funds,FCR Portugal Ventures Internacionalização,1,2011,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Management entity (or controlling entity),Venture Capital Funds,FCR Portugal Ventures Indústrias Criativas,1,2011,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Management entity (or controlling entity),Venture Capital Funds,FCR Portugal Ventures Universitas,1,2011,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Management entity (or controlling entity),Venture Capital Funds,FCR Portugal Ventures Turismo Inovação,1,2011,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Management entity (or controlling entity),Limited Partners (LPs)/SCR´s,"PME Capital ­Sociedade Portuguesa de Capital de Risco, S.A",1,2001,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Management entity (or controlling entity),Venture Capital Funds,FCR InovCapital,1,2003,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Management entity (or controlling entity),Venture Capital Funds,FCR FIAEA ­ Fundo de Investimento de Apoio ao Empreendorismo dos Açores,1,2011,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Management entity (or controlling entity),Venture Capital Funds,FCR Portugal Ventures Biocant,1,2011,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Management entity (or controlling entity),Venture Capital Funds,FCR Portugal Ventures Early Stages,1,2011,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Management entity (or controlling entity),Venture Capital Funds,FCR Portugal Ventures Finicia,1,2007,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Management entity (or controlling entity),Venture Capital Funds,FCR Portugal Ventures Global 2,1,2015,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Management entity (or controlling entity),Venture Capital Funds,FCR Portugal Global Ventures,1,2005,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",Management entity (or controlling entity),Venture Capital Funds,FCR Portugal Ventures ACTEC II,1,2011,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",VC Fundraising,Venture Capital Funds,FCR FIAEA ­ Fundo de Investimento de Apoio ao Empreendorismo dos Açores,1,2011,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",VC Fundraising,Venture Capital Funds,Fundo de Capital de Risco Portugal Ventures Global 2,1,2015,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",VC Fundraising,Venture Capital Funds,FCR Portugal Ventures Universitas,1,2011,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",VC Fundraising,Venture Capital Funds,FCR Portugal Ventures Internacionalização,1,2011,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",VC Fundraising,Venture Capital Funds,FCR Portugal Ventures Early Stages,1,2011,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",VC Fundraising,Venture Capital Funds,FCR Critical Ventures I,1,2011,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",VC Fundraising,Venture Capital Funds,FCR Portugal Global Ventures,1,2005,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",VC Fundraising,Venture Capital Funds,FCR Portugal Ventures Finicia,1,2007,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",VC Fundraising,Venture Capital Funds,FCR Portugal Ventures Indústrias Criativas,1,2011,
Limited Partners (LPs)/SCR´s,"Portugal Ventures SCR, SA",VC Fundraising,Venture Capital Funds,FCR Portugal Ventures Biocant,1,2011,
SPV´s,BrainCapital,Investment,Targeted companies (startups),"SWORD HEALTH, S.A",1,2014,
SPV´s,"New Ventures SGPS, SA",Investment,Targeted companies (startups),"SWORD HEALTH, S.A",1,2014,
SPV´s,"FJR, SGPS, S.A",Investment,Targeted companies (startups),STEMMATTERS - BIOTECNOLOGIA E MEDICINA REGENERATIVA S.A.,1,2011,
SPV´s,"Agro Consultores,Lda",Investment,Targeted companies (startups),"ZARPH, S.A.",1,2013,
SPV´s,"A. Silva Matos II - Investimentos, SA",Investment,Targeted companies (startups),"WINDPLUS, S.A.",1,2009,
SPV´s,IA - FCI - TICE,Investment,Targeted companies (startups),"TUIZZI, S.A.",1,2013,
Limited Partners (LPs)/SCR´s,"ES Ventures SCR, SA",Management entity (or controlling entity),Venture Capital Funds,FCR ESV II,1,2006,
Limited Partners (LPs)/SCR´s,"ES Ventures SCR, SA",Management entity (or controlling entity),Venture Capital Funds,FCR ESV III,1,2009,
Limited Partners (LPs)/SCR´s,"ES Ventures SCR, SA",Management entity (or controlling entity),Venture Capital Funds,FCR ESV Inovação & Internacionalização,1,2011,
Limited Partners (LPs)/SCR´s,"ES Ventures SCR, SA",Management entity (or controlling entity),Venture Capital Funds,FCR F-HITEC,1,2008,
Limited Partners (LPs)/SCR´s,"ES Ventures SCR, SA",Management entity (or controlling entity),Venture Capital Funds,FCR ISTART I,1,2011,
Limited Partners (LPs)/SCR´s,"ES Ventures SCR, SA",Investment,Targeted companies (startups),"FEEDZAI, INC.",1,2013,
Limited Partners (LPs)/SCR´s,"Capital Criativo SCR, SA",Management entity (or controlling entity),Venture Capital Funds,FCR Capital Criativo I,1,2011,
Limited Partners (LPs)/SCR´s,Haitong Capital SCR SA,Management entity (or controlling entity),Venture Capital Funds,FCR PME / Novo Banco,1,1997,
Limited Partners (LPs)/SCR´s,"Change Partners SCR, SA",VC Fundraising,Venture Capital Funds,FCR Fast Change,1,2003,
Limited Partners (LPs)/SCR´s,"Change Partners SCR, SA",Management entity (or controlling entity),Venture Capital Funds,FCR Fast Change II,1,2011,
Limited Partners (LPs)/SCR´s,"Change Partners SCR, SA",Management entity (or controlling entity),Venture Capital Funds,FCR Fast Change,1,2005,
Limited Partners (LPs)/SCR´s,"2BPARTNER SCR, SA",Management entity (or controlling entity),Venture Capital Funds,FCR Minho Inovação e Internacionalização,1,2011,
Limited Partners (LPs)/SCR´s,"Novabase Capital SCR, SA",VC Fundraising,Venture Capital Funds,FCR ISTART I,1,2011,
Limited Partners (LPs)/SCR´s,"Novabase Capital SCR, SA",VC Fundraising,Venture Capital Funds,FCR Novabase Capital,1,2005,
Limited Partners (LPs)/SCR´s,"Novabase Capital SCR, SA",VC Fundraising,Venture Capital Funds,FCR Novabase Inovação e Internacionalização,1,2011,
Limited Partners (LPs)/SCR´s,"Novabase Capital SCR, SA",Management entity (or controlling entity),Venture Capital Funds,FCR Novabase Inovação e Internacionalização,1,2011,
Limited Partners (LPs)/SCR´s,"Novabase Capital SCR, SA",Management entity (or controlling entity),Venture Capital Funds,FCR Novabase Capital,1,2005,
Limited Partners (LPs)/SCR´s,"Novabase Capital SCR, SA",Investment,Targeted companies (startups),"COLLAB - SOLUÇÕES INFORMÁTICAS DE COMUNICAÇÃO E COLABORAÇÃO, S.A.",1,2013,
Limited Partners (LPs)/SCR´s,"Naves ­Sociedade de Capital de Risco, S.A.",Investment,Targeted companies (startups),"BABYBOOK, S.A.",1,2014,
Limited Partners (LPs)/SCR´s,"BUSY ANGELS, SCR, S.A",Management entity (or controlling entity),SPV´s,"Busy Angels, SGPS",1,2015,
Limited Partners (LPs)/SCR´s,"ISQ SCR, SA",Management entity (or controlling entity),Venture Capital Funds,Fundo ISQ Capital,1,2005,
Limited Partners (LPs)/SCR´s,"ISQ SCR, SA",Management entity (or controlling entity),Venture Capital Funds,FCR ASK Capital,1,2011,
Limited Partners (LPs)/SCR´s,"ISQ SCR, SA",Management entity (or controlling entity),Venture Capital Funds,FCR ASK Celta,1,2011,
Limited Partners (LPs)/SCR´s,"Beta Capital SCR, SA",Management entity (or controlling entity),Venture Capital Funds,FCR Beta Early Stages,1,2005,
Limited Partners (LPs)/SCR´s,"Beta Capital SCR, SA",Management entity (or controlling entity),Venture Capital Funds,FCR Beta Ciências da Vida,1,2011,
Limited Partners (LPs)/SCR´s,"Beta Capital SCR, SA",Investment,Targeted companies (startups),GENE PREDIT S.A.,1,2012,
Limited Partners (LPs)/SCR´s,"Critical Ventures, SCR, SA",Management entity (or controlling entity),Venture Capital Funds,FCR Critical Ventures I,1,2011,
Limited Partners (LPs)/SCR´s,"Critical Ventures, SCR, SA",Management entity (or controlling entity),SPV´s,Critical SGPS (holding),1,2012,
Limited Partners (LPs)/SCR´s,"Critical Ventures, SCR, SA",Investment,Targeted companies (startups),"WFSW, S.A.",1,2012,
