Type,Name,Description,Image,Reference,NACE,Country,starting date,ending date
Targeted companies (startups),"GORGEOUSDETAILS, S.A. - SOCIEDADE EM LIQUIDAÇÃO",,,,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,PT,2013,2016
Targeted companies (startups),"GRAPHENEST, S.A.",,,,C - Manufacturing,PT,2015,
Targeted companies (startups),"GLOBAL ACTIVE, GESTÃO DE PARTICIPAÇÕES SOCIAIS, SGPS S.A.",,,,K - Financial and insurance activities,PT,2005,
Targeted companies (startups),"GLOBAL INPAKT, S.A.",,,,J - Information and communication,PT,2013,2015
Targeted companies (startups),"GO BIZ, VIAGENS E TURISMO, S.A.",,,,N - Administrative and support service activities,PT,2005,
Limited Partners (LPs)/SCR´s - Outside PT,Union Square Ventures,,,,K - Financial and insurance activities,USA,2004,
Targeted companies (startups),"HEARTGENETICS GENETICS AND BIOTECHNOLOGY, S.A.",,,,"M - Professional, scientific and technical activities",PT,2013,
Targeted companies (startups),"HOTTRADE - REPRESENTAÇÕES, GESTÃO E SERVIÇOS S.A.",,,,L - Real estate activities,PT,2006,
Targeted companies (startups),"IBERMAROS-EQUIPAMENTOS INDUSTRIAIS, S.A.",,,,C - Manufacturing,PT,2005,
Limited Partners (LPs)/SCR´s - Outside PT,Octopus Ventures,,,,K - Financial and insurance activities,UK,1999,
Targeted companies (startups),"GREENFIBER TECH, S.A.",,,,C - Manufacturing,PT,2011,
Targeted companies (startups),"GUESTCENTRIC SYSTEMS, S.A.",,,,J - Information and communication,PT,2006,
Limited Partners (LPs)/SCR´s - Outside PT,Atomico,,,,K - Financial and insurance activities,UK,2006,
Limited Partners (LPs)/SCR´s - Outside PT,True Ventures,,,,K - Financial and insurance activities,USA,2006,
Targeted companies (startups),"GUM CHEMICAL SOLUTIONS, S.A.",,,,C - Manufacturing,PT,2013,
Targeted companies (startups),"FOLLOWPRICE, S.A.",,,,J - Information and communication,PT,2015,
Targeted companies (startups),"FRIDAY: CIÊNCIA E ENGENHARIA DO LAZER, S.A.",,,,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,PT,2012,
Targeted companies (startups),FÓRMULA DA AVÓ - LDA,,,,"M - Professional, scientific and technical activities",PT,2012,
Targeted companies (startups),"FLUIDINOVA, S.A.",,,,"M - Professional, scientific and technical activities",PT,2005,
Targeted companies (startups),"FEEDZAI, INC.",,,,J - Information and communication,USA,2012,
Targeted companies (startups),"FOLLOW INSPIRATION, S.A.",,,,J - Information and communication,PT,2012,
Targeted companies (startups),"GETSOCIAL, S.A.",,,,J - Information and communication,PT,2013,
Targeted companies (startups),GENIBET BIOPHARMACEUTICALS S.A.,,,,C - Manufacturing,PT,2006,
Targeted companies (startups),"GLEAM, S.A.",,,,J - Information and communication,PT,2013,
Targeted companies (startups),"FUNCTIONAL ENVIROMICS TECHNOLOGIES, S.A.",,,,"M - Professional, scientific and technical activities",PT,2012,
Targeted companies (startups),GENE PREDIT S.A.,,,,"M - Professional, scientific and technical activities",PT,2006,
Targeted companies (startups),"BIOMIMETX,S.A.",,,,"M - Professional, scientific and technical activities",PT,2013,
Targeted companies (startups),"BIOMODE - BIOMOLECULAR DETERMINATION, S.A.",,,,"M - Professional, scientific and technical activities",PT,2010,
Targeted companies (startups),"BICA STUDIOS, S.A.",,,,J - Information and communication,PT,2013,
Targeted companies (startups),BIOSURFIT S.A.,,,,"M - Professional, scientific and technical activities",PT,2006,
Targeted companies (startups),"BIOMODE 2, S.A.",,,,"M - Professional, scientific and technical activities",PT,2014,
Targeted companies (startups),"BLOOMERS, S.A.",,,,C - Manufacturing,PT,2013,
Targeted companies (startups),BIOTREND - INOVAÇÃO E ENGENHARIA EM BIOTECNOLOGIA S.A.,,,,"M - Professional, scientific and technical activities",PT,2005,
Targeted companies (startups),BitSight Technologies,,,,Foreign Company,USA,2011,
Targeted companies (startups),"BRIGHT INNOVATION, LDA",,,,N - Administrative and support service activities,PT,2012,
Targeted companies (startups),"BRIGHTWIZARD, S.A",,,,J - Information and communication,PT,2013,
Targeted companies (startups),"BLUECARING - SISTEMAS DE MONITORIZAÇÃO, S.A.",,,,J - Information and communication,PT,2011,
Targeted companies (startups),"ASINUS ATLANTICUS, S.A.",,,,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,PT,2012,
Targeted companies (startups),AquaSpy,,,,Foreign Company,USA,1998,
Targeted companies (startups),"APTOIDE, S.A.",,,,J - Information and communication,PT,2011,
Targeted companies (startups),"AUGRPUBLISHER, S.A",,,,J - Information and communication,PT,2014,
Targeted companies (startups),Atraverda,,,,Foreign Company,UK,2005,
Targeted companies (startups),"ATP- ATLÂNTICO TRADE PARTNERS - IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS ALIMENTARES, LDA",,,,F - Construction,PT,2010,
Targeted companies (startups),BALFLEX PORTUGAL - COMPONENTES HIDRÁULICOS E INDUSTRIAIS S.A.,,,,C - Manufacturing,PT,2010,
